,month,opening_price,high_price,low_price,closing_price,volume,gas
72,2011-02,20.57,26.12,20.33,25.53,14314500.0,3.2640000000000002
73,2011-03,26.03,26.03,18.57,22.79,30502200.0,3.615
74,2011-04,23.14,28.79,21.09,26.81,18080000.0,3.8520000000000003
75,2011-05,26.94,27.41,22.23,25.9,17952500.0,3.9595999999999996
76,2011-06,25.79,26.25,21.61,26.12,20387400.0,3.73475
77,2011-07,26.02,29.27,25.25,27.1,13913000.0,3.7047499999999998
78,2011-08,27.86,28.56,17.68,21.12,21395400.0,3.6956
79,2011-09,21.13,21.49,13.74,13.76,15744700.0,3.66675
80,2011-10,13.52,21.35,11.87,19.69,17811200.0,3.5064
81,2011-11,18.63,21.07,16.73,20.02,14430400.0,3.443
82,2011-12,19.84,22.86,18.93,21.21,14460600.0,3.32575
83,2012-01,22.08,22.5,19.89,21.61,8841800.0,3.44
84,2012-02,21.88,27.4,20.8,25.25,12933700.0,3.6394999999999995
85,2012-03,25.46,25.98,20.45,21.08,13864700.0,3.90725
86,2012-04,20.97,21.78,18.4,19.77,12188600.0,3.9582
87,2012-05,19.72,20.67,14.755999999999998,15.37,23905500.0,3.791
88,2012-06,14.79,16.57,13.18,15.3,26560200.0,3.59575
89,2012-07,15.3,19.29,14.49,18.49,15016500.0,3.4981999999999998
90,2012-08,18.7,18.7499,15.67,17.26,14389400.0,3.7802499999999997
91,2012-09,17.29,21.36,17.12,18.78,11515300.0,3.9095
92,2012-10,19.16,19.77,16.26,16.95,9317900.0,3.8120000000000003
93,2012-11,17.26,18.55,15.1415,16.57,11710300.0,3.5207499999999996
94,2012-12,16.73,18.261,15.37,16.03,9381100.0,3.3806
95,2013-01,16.62,18.13,16.45,17.6,10231500.0,3.3907499999999997
96,2013-02,17.73,18.45,14.74,14.86,10557300.0,3.736
97,2013-03,14.65,15.84,14.07,14.2,14535600.0,3.77875
98,2013-04,14.13,14.19,10.68,11.68,15950300.0,3.6382000000000003
99,2013-05,11.54,15.86,11.03,14.74,16896600.0,3.675
100,2013-06,14.84,15.39,13.13,14.29,11398700.0,3.6885
101,2013-07,14.47,17.03,14.23,16.29,9942500.0,3.6606
102,2013-08,16.72,17.4,14.55,15.45,12518600.0,3.64475
103,2013-09,15.79,18.16,15.09,17.72,12109200.0,3.6042
104,2013-10,17.67,20.43,17.36,19.09,11188100.0,3.4195
105,2013-11,19.14,20.06,16.8,17.2,14541900.0,3.3217499999999998
106,2013-12,17.05,17.55,14.769,16.0,14761800.0,3.3568000000000007
107,2014-01,15.82,16.19,14.06,14.32,14370200.0,3.3920000000000003
108,2014-02,14.26,15.97,13.52,15.07,14234800.0,3.4342499999999996
109,2014-03,15.07,17.325,13.93,17.31,21220800.0,3.6058
110,2014-04,17.43,19.78,17.0,19.2,16502500.0,3.7352499999999997
111,2014-05,19.18,19.3,14.42,14.67,17298700.0,3.75
112,2014-06,14.67,16.73,14.0,16.37,14953700.0,3.7659999999999996
113,2014-07,16.45,16.75,13.38,13.41,10420100.0,3.68825
114,2014-08,13.43,15.12,12.77,14.92,14082800.0,3.5645
115,2014-09,14.85,14.85,10.865,11.0,17815315.0,3.4842
116,2014-10,11.1,11.32,8.2,9.09,33963021.0,3.2544999999999997
117,2014-11,9.2,10.78,7.52,7.53,34470619.0,2.99675
118,2014-12,7.44,7.95,5.34,7.34,54535028.0,2.6324
119,2015-01,7.28,7.48,4.8,5.06,42454234.0,2.2075
120,2015-02,5.14,7.18,5.06,5.97,53861298.0,2.30075
121,2015-03,5.91,6.485,4.63,5.11,61543065.0,2.5464
122,2015-04,5.13,7.06,5.11,6.43,60106239.0,2.5547500000000003
123,2015-05,6.33,6.71,5.05,5.41,49351190.0,2.80225
124,2015-06,5.42,5.78,5.14,5.48,24405148.0,2.8848
125,2015-07,5.42,5.465,3.69,3.77,29538870.0,2.8794999999999997
126,2015-08,3.69,3.78,2.51,3.57,25967195.0,2.726
127,2015-09,3.58,3.85,2.9,3.0,24385783.0,2.4615
128,2015-10,3.07,3.7,2.8,3.26,29474337.0,2.38675
129,2015-11,3.21,4.0,3.17,3.75,22448709.0,2.2602
130,2015-12,3.74,3.795,2.05,2.31,28571865.0,2.1442500000000004
131,2016-01,2.44,2.56,1.23,1.95,29642336.0,2.0564999999999998
132,2016-02,1.9,1.95,1.48,1.82,22426336.0,1.8719999999999999
133,2016-03,1.89,3.5,1.85,2.19,59219419.0,2.07075
134,2016-04,2.1,2.74,1.93,2.41,41339175.0,2.2157500000000003
135,2016-05,2.42,2.62,1.98,2.11,30644489.0,2.371
136,2016-06,2.1,2.32,2.03,2.32,23147646.0,2.467
137,2016-07,2.27,2.35,1.975,1.99,15927819.0,2.3449999999999998
138,2016-08,1.99,2.13,1.71,1.71,25258840.0,2.2838
139,2016-09,1.7,1.86,1.51,1.76,18543756.0,2.3265000000000002
140,2016-10,1.77,1.78,1.43,1.45,16294015.0,2.3592
141,2016-11,1.47,1.74,1.31,1.69,18205512.0,2.2950000000000004
142,2016-12,1.77,3.4696,1.75,2.77,82248377.0,2.3655
143,2017-01,2.9,3.39,2.73,2.9,40219428.0,2.4584
144,2017-02,2.9,2.95,2.5,2.51,23030527.0,2.416
145,2017-03,2.54,3.08,2.53,2.77,37276020.0,2.43675
146,2017-04,2.76,2.81,1.96,2.04,26223440.0,2.5275
147,2017-05,2.05,2.49,1.85,2.04,32604647.0,2.5026
148,2017-06,2.06,2.25,1.86,1.96,41901970.0,2.46025
149,2017-07,1.99,2.1,1.81,1.96,26599460.0,2.4144
150,2017-08,1.96,2.1,1.83,1.91,34021899.0,2.4939999999999998
151,2017-09,1.9,3.69,1.89,3.05,79468254.0,2.76125
152,2017-10,2.89,3.32,2.76,3.13,49578804.0,2.621
153,2017-11,3.19,3.38,2.92,3.14,43018948.0,2.6775
154,2017-12,3.18,3.68,2.595,3.31,40213871.0,2.59375
155,2018-01,3.35,5.34,3.3489999999999998,4.84,69664697.0,2.6712
156,2018-02,4.85,4.97,3.38,3.89,44862671.0,2.70475
157,2018-03,3.88,4.575,3.5,4.43,39669333.0,2.7089999999999996
158,2018-04,4.4,6.27,4.06,6.1,51237716.0,2.8731999999999998
159,2018-05,6.04,8.9177,5.83,6.85,102635894.0,2.98675
160,2018-06,6.83,7.68,6.22,7.15,85636046.0,2.9695
161,2018-07,6.98,9.12,6.61,6.94,75854125.0,2.9278
162,2018-08,6.81,7.6,5.52,6.77,85378760.0,2.9142500000000005
163,2018-09,6.82,9.84,6.17,9.64,65608544.0,2.91475
164,2018-10,9.73,9.88,6.15,6.74,73420068.0,2.9426
165,2018-11,7.0,7.99,5.24,5.81,69165338.0,2.7357499999999995
166,2018-12,6.12,6.44,3.62,4.12,62754535.0,2.4572000000000003
167,2019-01,4.02,5.75,3.91,5.04,49823811.0,2.3375
168,2019-02,5.09,5.32,4.365,5.21,41419310.0,2.39325
169,2019-03,5.25,7.15,4.73,6.9,72827019.0,2.59425
170,2019-04,7.03,7.175,6.21,6.38,45005664.0,2.8811999999999998
171,2019-05,6.38,6.3918,4.12,4.2,59947627.0,2.94625
172,2019-06,4.24,4.99,4.12,4.96,44799214.0,2.8035
173,2019-07,5.14,5.205,4.045,4.49,55166175.0,2.8232
174,2019-08,4.67,4.89,3.96,4.38,49806981.0,2.7067499999999995
175,2019-09,4.27,5.94,4.11,4.37,64952717.0,2.6814
176,2019-10,4.4,4.57,3.75,4.03,48254565.0,2.7239999999999998
177,2019-11,4.05,4.62,3.91,4.28,56690432.0,2.69325
178,2019-12,4.33,5.78,3.99,5.56,47152831.0,2.645
179,2020-01,5.61,6.1,4.06,4.14,54410550.0,2.6355
180,2020-02,4.1,4.32,2.37,2.6,60951848.0,2.5325
181,2020-03,2.74,2.83,1.07,1.7,152121295.0,2.3289999999999997
182,2020-04,1.6,2.995,1.44,2.77,207839780.0,1.93825
183,2020-05,2.67,2.85,2.25,2.61,111040350.0,1.9605000000000001
184,2020-06,2.62,3.97,2.18,2.28,170024038.0,2.1696
185,2020-07,2.3,2.67,2.11,2.26,97765642.0,2.2720000000000002
186,2020-08,2.26,2.64,2.16,2.23,65975493.0,2.2722
187,2020-09,2.23,2.24,1.65,1.8,64890217.0,2.2735000000000003
188,2020-10,1.75,1.93,1.365,1.4,49834887.0,2.24825
189,2020-11,1.4,2.45,1.35,1.96,98329016.0,2.1998
190,2020-12,2.04,2.75,1.94,2.17,106897724.0,2.2835
191,2021-01,2.21,2.74,2.15,2.42,75375958.0,2.42025
